specie,obj,ability,HP,Atk,Def,SpA,SpD,Spe,nature,iv_HP,iv_Atk,iv_Def,iv_SpA,iv_SpD,iv_Spe,move1,move2,move3,move4,teammate1,teammate2,teammate3,teammate4,teammate5
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Reflect,Light Screen,Foul Play,Thunder Wave,Rotom-Wash,Torkoal,Landorus-Therian,Venusaur-Gmax,Zacian-Crowned
Rotom-Wash,Safety Goggles ,Levitate,0,0,0,0,0,0,,31,31,31,31,31,31,Thunderbolt,Hydro Pump,Nasty Plot,Will-O-Wisp,Grimmsnarl,Torkoal,Landorus-Therian,Venusaur-Gmax,Zacian-Crowned
Torkoal,Sitrus Berry ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Heat Wave,Body Press,Yawn,Protect,Grimmsnarl,Rotom-Wash,Landorus-Therian,Venusaur-Gmax,Zacian-Crowned
Landorus-Therian,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Earthquake,Fly,Rock Slide,U-turn,Grimmsnarl,Rotom-Wash,Torkoal,Venusaur-Gmax,Zacian-Crowned
Venusaur-Gmax,Weakness Policy ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Frenzy Plant,Weather Ball,Earth Power,Sleep Powder,Grimmsnarl,Rotom-Wash,Torkoal,Landorus-Therian,Zacian-Crowned
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Grimmsnarl,Rotom-Wash,Torkoal,Landorus-Therian,Venusaur-Gmax
Zacian-Crowned,Rusted Sword ,Intrepid Sword ,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Venusaur-Gmax,Thundurus,Torkoal,Landorus-Therian,Persian-Alola
Venusaur-Gmax,Life Orb ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Sludge Bomb,Leaf Storm,Weather Ball,Protect,Zacian-Crowned,Thundurus,Torkoal,Landorus-Therian,Persian-Alola
Thundurus,Assault Vest ,Defiant  ,0,0,0,0,0,0,,31,31,31,31,31,31,Fly,Wild Charge,Brick Break,Foul Play,Zacian-Crowned,Venusaur-Gmax,Torkoal,Landorus-Therian,Persian-Alola
Torkoal,Sitrus Berry ,Drought  ,0,0,0,0,0,0,,31,31,31,31,31,31,Burning Jealousy,Body Press,Yawn,Protect,Zacian-Crowned,Venusaur-Gmax,Thundurus,Landorus-Therian,Persian-Alola
Landorus-Therian,Lum Berry ,Intimidate  ,0,0,0,0,0,0,,31,31,31,31,31,31,Earthquake,Rock Slide,Fly,Protect,Zacian-Crowned,Venusaur-Gmax,Thundurus,Torkoal,Persian-Alola
Persian-Alola,Focus Sash ,Fur Coat ,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Foul Play,Parting Shot,Icy Wind,Zacian-Crowned,Venusaur-Gmax,Thundurus,Torkoal,Landorus-Therian
Solgaleo,Weakness Policy ,Full Metal Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Sunsteel Strike,Earthquake,Rock Slide,Protect,Grimmsnarl,Spectrier,Porygon2,Rotom-Heat,Tapu Fini
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Spirit Break,Sucker Punch,Light Screen,Reflect,Solgaleo,Spectrier,Porygon2,Rotom-Heat,Tapu Fini
Spectrier,Focus Sash ,Grim Neigh,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Shadow Ball,Snarl,Will-O-Wisp,Bulldoze,Solgaleo,Grimmsnarl,Porygon2,Rotom-Heat,Tapu Fini
Porygon2,Eviolite ,Trace,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Foul Play,Eerie Impulse,Recover,Trick Room,Solgaleo,Grimmsnarl,Spectrier,Rotom-Heat,Tapu Fini
Rotom-Heat,Safety Goggles ,Levitate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Overheat,Thunderbolt,Nasty Plot,Protect,Solgaleo,Grimmsnarl,Spectrier,Porygon2,Tapu Fini
Tapu Fini,Leftovers ,Misty Surge,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Muddy Water,Moonblast,Calm Mind,Protect,Solgaleo,Grimmsnarl,Spectrier,Porygon2,Rotom-Heat
Raichu,Focus Sash ,Lightning Rod,0,0,0,0,0,0,,31,31,31,31,31,31,Volt Switch,Electroweb,Helping Hand,Fake Out,Lapras-Gmax,Volcarona,Moltres-Galar,Kartana,Zygarde
Lapras-Gmax,Light Clay ,Water Absorb,0,0,0,0,0,0,,31,31,31,31,31,31,Hydro Pump,Freeze-Dry,Ice Shard,Life Dew,Raichu,Volcarona,Moltres-Galar,Kartana,Zygarde
Volcarona,Coba Berry ,Flame Body,0,0,0,0,0,0,,31,31,31,31,31,31,Rage Powder,Struggle Bug,Will-O-Wisp,Fiery Dance,Raichu,Lapras-Gmax,Moltres-Galar,Kartana,Zygarde
Moltres-Galar,Life Orb ,Berserk,0,0,0,0,0,0,,31,31,31,31,31,31,Fiery Wrath,Nasty Plot,Hurricane,Protect,Raichu,Lapras-Gmax,Volcarona,Kartana,Zygarde
Kartana,Assault Vest ,Beast Boost ,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Blade,Smart Strike,Sacred Sword,Aerial Ace,Raichu,Lapras-Gmax,Volcarona,Moltres-Galar,Zygarde
Zygarde,Weakness Policy ,Power Construct,0,0,0,0,0,0,,31,31,31,31,31,31,Thousand Arrows,Rock Slide,Coil,Protect,Raichu,Lapras-Gmax,Volcarona,Moltres-Galar,Kartana
Calyrex-Shadow,Life Orb ,As One (Spectrier),0,0,0,0,0,0,,31,31,31,31,31,31,Astral Barrage,Expanding Force,Mud Shot,Protect,Indeedee-F,Thundurus,Whimsicott,Rotom-Heat,Excadrill
Indeedee-F,Psychic Seed ,Psychic Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Expanding Force,Follow Me,Helping Hand,Protect,Calyrex-Shadow,Thundurus,Whimsicott,Rotom-Heat,Excadrill
Thundurus,Assault Vest ,Defiant,0,0,0,0,0,0,,31,31,31,31,31,31,Thunder Punch,Fly,Brick Break,Lash Out,Calyrex-Shadow,Indeedee-F,Whimsicott,Rotom-Heat,Excadrill
Whimsicott,Focus Sash ,Prankster ,0,0,0,0,0,0,,31,31,31,31,31,31,Moonblast,Tailwind,Taunt,Helping Hand,Calyrex-Shadow,Indeedee-F,Thundurus,Rotom-Heat,Excadrill
Rotom-Heat,Safety Goggles ,Levitate,0,0,0,0,0,0,,31,31,31,31,31,31,Overheat,Thunderbolt,Will-O-Wisp,Nasty Plot,Calyrex-Shadow,Indeedee-F,Thundurus,Whimsicott,Excadrill
Excadrill,Weakness Policy ,Sand Rush,0,0,0,0,0,0,,31,31,31,31,31,31,Iron Head,Earthquake,Rock Slide,Swords Dance,Calyrex-Shadow,Indeedee-F,Thundurus,Whimsicott,Rotom-Heat
Charizard-Gmax,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Blast Burn,Heat Wave,Hurricane,Groudon,Venusaur-Gmax,Umbreon,Incineroar,Regieleki
Groudon,Sitrus Berry ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Precipice Blades,Rock Slide,Swords Dance,Charizard-Gmax,Venusaur-Gmax,Umbreon,Incineroar,Regieleki
Venusaur-Gmax,Focus Sash ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Sleep Powder,Leaf Storm,Earth Power,Weather Ball,Charizard-Gmax,Groudon,Umbreon,Incineroar,Regieleki
Umbreon,Leftovers ,Inner Focus,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Snarl,Yawn,Moonlight,Charizard-Gmax,Groudon,Venusaur-Gmax,Incineroar,Regieleki
Incineroar,Assault Vest ,Intimidate ,0,0,0,0,0,0,,31,31,31,31,31,31,U-turn,Flare Blitz,Darkest Lariat,Fake Out,Charizard-Gmax,Groudon,Venusaur-Gmax,Umbreon,Regieleki
Regieleki,Magnet ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Thunderbolt,Electroweb,Volt Switch,Protect,Charizard-Gmax,Groudon,Venusaur-Gmax,Umbreon,Incineroar
Palkia,Lustrous Orb ,Telepathy,0,0,0,0,0,0,,31,31,31,31,31,31,Hydro Pump,Spacial Rend,Earth Power,Trick Room,Ferrothorn,Grimmsnarl,Landorus-Therian,Rotom-Heat,Urshifu-Gmax
Ferrothorn,Leftovers ,Iron Barbs,0,0,0,0,0,0,,31,31,31,31,31,31,Body Press,Leech Seed,Iron Defense,Protect,Palkia,Grimmsnarl,Landorus-Therian,Rotom-Heat,Urshifu-Gmax
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Spirit Break,Light Screen,Reflect,Thunder Wave,Palkia,Ferrothorn,Landorus-Therian,Rotom-Heat,Urshifu-Gmax
Landorus-Therian,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Earthquake,Rock Slide,Fly,U-turn,Palkia,Ferrothorn,Grimmsnarl,Rotom-Heat,Urshifu-Gmax
Rotom-Heat,Safety Goggles ,Levitate,0,0,0,0,0,0,,31,31,31,31,31,31,Overheat,Discharge,Nasty Plot,Protect,Palkia,Ferrothorn,Grimmsnarl,Landorus-Therian,Urshifu-Gmax
Urshifu-Gmax,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Protect,Palkia,Ferrothorn,Grimmsnarl,Landorus-Therian,Rotom-Heat
Venusaur,Coba Berry ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Sleep Powder,Frenzy Plant,Sludge Bomb,Weather Ball,Torkoal,Tornadus,Porygon2,Kyogre,Urshifu
Torkoal,Charcoal ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Eruption,Yawn,Burning Jealousy,Protect,Venusaur,Tornadus,Porygon2,Kyogre,Urshifu
Tornadus,Life Orb ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Tailwind,Hurricane,Dark Pulse,Icy Wind,Venusaur,Torkoal,Porygon2,Kyogre,Urshifu
Porygon2,Eviolite ,Trace,0,0,0,0,0,0,,31,31,31,31,31,31,Ice Beam,Eerie Impulse,Recover,Trick Room,Venusaur,Torkoal,Tornadus,Kyogre,Urshifu
Kyogre,Sea Incense ,Drizzle,0,0,0,0,0,0,,31,31,31,31,31,31,Water Spout,Origin Pulse,Thunder,Protect,Venusaur,Torkoal,Tornadus,Porygon2,Urshifu
Urshifu,Focus Sash ,Unseen Fist ,0,0,0,0,0,0,,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Detect,Venusaur,Torkoal,Tornadus,Porygon2,Kyogre
Calyrex-Ice,Weakness Policy ,As One (Glastrier),0,0,0,0,0,0,,31,31,31,31,31,31,Glacial Lance,High Horsepower,Close Combat,Protect,Regieleki,Tapu Fini,Urshifu,Incineroar,Mimikyu
Regieleki,Magnet ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Electro Ball,Electroweb,Volt Switch,Protect,Calyrex-Ice,Tapu Fini,Urshifu,Incineroar,Mimikyu
Tapu Fini,Leftovers ,Misty Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Muddy Water,Moonblast,Calm Mind,Protect,Calyrex-Ice,Regieleki,Urshifu,Incineroar,Mimikyu
Urshifu,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Detect,Calyrex-Ice,Regieleki,Tapu Fini,Incineroar,Mimikyu
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Flare Blitz,Fake Out,Taunt,Parting Shot,Calyrex-Ice,Regieleki,Tapu Fini,Urshifu,Mimikyu
Mimikyu,Mental Herb ,Disguise,0,0,0,0,0,0,,31,31,31,31,31,31,Play Rough,Shadow Sneak,Will-O-Wisp,Trick Room,Calyrex-Ice,Regieleki,Tapu Fini,Urshifu,Incineroar
Groudon,White Herb ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Precipice Blades,Rock Slide,Swords Dance,Protect,Charizard-Gmax,Venusaur-Gmax,Incineroar,Grimmsnarl,Porygon2
Charizard-Gmax,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Heat Wave,Blast Burn,Air Slash,Protect,Groudon,Venusaur-Gmax,Incineroar,Grimmsnarl,Porygon2
Venusaur-Gmax,Weakness Policy ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Weather Ball,Sludge Bomb,Sleep Powder,Groudon,Charizard-Gmax,Incineroar,Grimmsnarl,Porygon2
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Flare Blitz,Darkest Lariat,Parting Shot,Groudon,Charizard-Gmax,Venusaur-Gmax,Grimmsnarl,Porygon2
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Scary Face,Groudon,Charizard-Gmax,Venusaur-Gmax,Incineroar,Porygon2
Porygon2,Eviolite ,Download,0,0,0,0,0,0,,31,31,31,31,31,31,Ice Beam,Eerie Impulse,Recover,Trick Room,Groudon,Charizard-Gmax,Venusaur-Gmax,Incineroar,Grimmsnarl
Charizard,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Heat Wave,Air Slash,Protect,Solar Beam,Sableye,Zacian-Crowned,Rillaboom,Gastrodon,Landorus-Therian
Sableye,Focus Sash ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Quash,Taunt,Sunny Day,Foul Play,Charizard,Zacian-Crowned,Rillaboom,Gastrodon,Landorus-Therian
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Protect,Play Rough,Swords Dance,Charizard,Sableye,Rillaboom,Gastrodon,Landorus-Therian
Rillaboom,Assault Vest ,Grassy Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Grassy Glide,Wood Hammer,Fake Out,Knock Off,Charizard,Sableye,Zacian-Crowned,Gastrodon,Landorus-Therian
Gastrodon,,Storm Drai,0,0,0,0,0,0,,31,31,31,31,31,31,astrodon-East) @ Rindo Berry ,Earth Power ,Scald ,Protect ,Ice Beam ,Charizard,Sableye,Zacian-Crowned,Rillaboom,Landorus-Therian
Landorus-Therian,Choice Scarf ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Rock Slide,Earthquake,U-turn,Fly,Charizard,Sableye,Zacian-Crowned,Rillaboom,Gastrodon
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Venusaur-Gmax,Torkoal,Charizard-Gmax,Landorus-Therian,Grimmsnarl
Venusaur-Gmax,Weakness Policy ,Chlorophyll,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Frenzy Plant,Weather Ball,Earth Power,Sleep Powder,Zacian-Crowned,Torkoal,Charizard-Gmax,Landorus-Therian,Grimmsnarl
Torkoal,Sitrus Berry ,Drought,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Burning Jealousy,Body Press,Yawn,Protect,Zacian-Crowned,Venusaur-Gmax,Charizard-Gmax,Landorus-Therian,Grimmsnarl
Charizard-Gmax,Assault Vest ,Solar Power,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Heat Wave,Scorching Sands,Air Slash,Ancient Power,Zacian-Crowned,Venusaur-Gmax,Torkoal,Landorus-Therian,Grimmsnarl
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Rock Slide,Earthquake,Swords Dance,Fly,Zacian-Crowned,Venusaur-Gmax,Torkoal,Charizard-Gmax,Grimmsnarl
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Reflect,Light Screen,Scary Face,Spirit Break,Zacian-Crowned,Venusaur-Gmax,Torkoal,Charizard-Gmax,Landorus-Therian
Incineroar,Figy Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Snarl,Flare Blitz,Parting Shot,Zacian-Crowned,Dragapult,Lapras-Gmax,Amoonguss,Regieleki
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Iron Head,Close Combat,Substitute,Protect,Incineroar,Dragapult,Lapras-Gmax,Amoonguss,Regieleki
Dragapult,Lum Berry ,Clear Body,0,0,0,0,0,0,,31,31,31,31,31,31,Fly,Dragon Darts,Phantom Force,Will-O-Wisp,Incineroar,Zacian-Crowned,Lapras-Gmax,Amoonguss,Regieleki
Lapras-Gmax,Life Orb ,Water Absorb,0,0,0,0,0,0,,31,31,31,31,31,31,Freeze-Dry,Ice Shard,Protect,Hydro Pump,Incineroar,Zacian-Crowned,Dragapult,Amoonguss,Regieleki
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,,31,31,31,31,31,31,Spore,Rage Powder,Pollen Puff,Protect,Incineroar,Zacian-Crowned,Dragapult,Lapras-Gmax,Regieleki
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Thunderbolt,Electroweb,Eerie Impulse,Protect,Incineroar,Zacian-Crowned,Dragapult,Lapras-Gmax,Amoonguss
Calyrex-Shadow,Life Orb ,As One (Spectrier),0,0,0,0,0,0,,31,31,31,31,31,31,Astral Barrage,Expanding Force,Mud Shot,Protect,Indeedee-F,Thundurus,Coalossal-Gmax,Ferrothorn,Urshifu-Rapid-Strike
Indeedee-F,Safety Goggles ,Psychic Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Dazzling Gleam,Follow Me,Helping Hand,Protect,Calyrex-Shadow,Thundurus,Coalossal-Gmax,Ferrothorn,Urshifu-Rapid-Strike
Thundurus,Assault Vest ,Defiant  ,0,0,0,0,0,0,,31,31,31,31,31,31,Wild Charge,Fly,Brick Break,Foul Play,Calyrex-Shadow,Indeedee-F,Coalossal-Gmax,Ferrothorn,Urshifu-Rapid-Strike
Coalossal-Gmax,Weakness Policy ,Steam Engine,0,0,0,0,0,0,,31,31,31,31,31,31,Meteor Beam,Heat Wave,Solar Beam,Protect,Calyrex-Shadow,Indeedee-F,Thundurus,Ferrothorn,Urshifu-Rapid-Strike
Ferrothorn,Leftovers ,Iron Barbs,0,0,0,0,0,0,,31,31,31,31,31,31,Body Press,Leech Seed,Iron Defense,Protect,Calyrex-Shadow,Indeedee-F,Thundurus,Coalossal-Gmax,Urshifu-Rapid-Strike
Urshifu-Rapid-Strike,Focus Sash ,Unseen Fist,0,0,0,0,0,0,,31,31,31,31,31,31,Aqua Jet,Close Combat,Surging Strikes,Detect,Calyrex-Shadow,Indeedee-F,Thundurus,Coalossal-Gmax,Ferrothorn
Xerneas,Power Herb ,Fairy Aura,0,0,0,0,0,0,Hardy,31,0,31,31,31,31,Moonblast,Dazzling Gleam,Geomancy,Protect,Rotom-Heat,Milotic,Amoonguss,Landorus-Therian,Naganadel
Rotom-Heat,Safety Goggles ,Levitate,0,0,0,0,0,0,Hardy,31,0,31,31,31,31,Overheat,Thunderbolt,Protect,Nasty Plot,Xerneas,Milotic,Amoonguss,Landorus-Therian,Naganadel
Milotic,Assault Vest ,Competitive,0,0,0,0,0,0,Hardy,31,0,31,31,31,31,Scald,Ice Beam,Mud Shot,Dragon Pulse,Xerneas,Rotom-Heat,Amoonguss,Landorus-Therian,Naganadel
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Quirky,31,0,31,31,31,31,Spore,Rage Powder,Protect,Pollen Puff,Xerneas,Rotom-Heat,Milotic,Landorus-Therian,Naganadel
Landorus-Therian,Life Orb ,Intimidate,0,0,0,0,0,0,Hardy,31,31,31,31,31,31,Fly,Rock Slide,Earthquake,Protect,Xerneas,Rotom-Heat,Milotic,Amoonguss,Naganadel
